,Ano,TituloLivro,GeneroLivro,NomeAutor,GeneroAutor,FaixaEtariaAutor,PaisAutor,NomeEditora,SedeEditora,PaisEdicao,Vencedor,Finalista,Semifinalista
5560,2022,Amélie o jardim e o piano,Romance,Mauricio De Oliveira Silva,Masculino,de 50 a 60 anos,Brasil,Albatroz,Brasil,Brasil,Não,Não,Não
5561,2022,Amém período fértil,Poesia,Gabriella Zanardi,Feminino,de 20 a 30 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
5562,2022,"Amém, miséria",Conto,Marcelo Alcaraz,Masculino,de 50 a 60 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
5563,2022,América - Um poema de amor,Poesia,Mariana Ianelli,Feminino,de 40 a 50 anos,Brasil,Edições Ardotempo,Brasil,Brasil,Não,Não,Sim
5564,2022,Amor & Abismos,Romance,Junno Sena,Prefiro não informar,de 20 a 30 anos,Brasil,Nua,Brasil,Brasil,Não,Não,Não
5565,2022,Amor Cigano,Romance,Maria Luiza Vargas Ramos,Feminino,de 60 a 70 anos,Brasil,Alternativa,Brasil,Brasil,Não,Não,Não
5566,2022,Amor de bicho,Romance,Marcelo Labes,Masculino,de 30 a 40 anos,Brasil,Caiaponte Edições,Brasil,Brasil,Não,Não,Não
5567,2022,AMOR E ÓDIO NA FESTA DE SANTO AMARO,Romance,Gilmar Caldas Peres,Masculino,de 50 a 60 anos,Brasil,Metamorfose,Brasil,Brasil,Não,Não,Não
5568,2022,amor humor - reloaded,Conto,Gilson Yoshioka,Masculino,de 40 a 50 anos,Brasil,Telucazu,Brasil,Brasil,Não,Não,Não
5569,2022,Amor nos Tempos de Quarentena,Romance,Amanda Boaviagem,Feminino,de 30 a 40 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5570,2022,Amor: Arte Abstrata,Poesia,Luan Vieira,Masculino,de 20 a 30 anos,Brasil,Brunsmarck,Brasil,Brasil,Não,Não,Não
5571,2022,Amores desfocados,Poesia,Marcelo Frota,Masculino,de 40 a 50 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5572,2022,Amputação Afetiva de Nós,Romance,Leonardo Triandopolis Vieira,Masculino,de 30 a 40 anos,Brasil,Mondru,Brasil,Brasil,Não,Não,Não
5573,2022,ANATOMIA DAS ÁGUAS,Poesia,Antonio Carlos Santos,Masculino,de 60 a 70 anos,Portugal,Poética Edições,Portugal,Brasil,Não,Não,Não
5574,2022,Andalyn,Romance,Erika Lyrio,Feminino,de 30 a 40 anos,Brasil,Caligari,Brasil,Brasil,Não,Não,Não
5575,2022,Andar barato,Poesia,Ana Botner,Feminino,de 20 a 30 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
5576,2022,ANDARES ENTRE DOIS ANDRADES,Romance,Jose Alfredo Santos Abrao,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5577,2022,Ando caindo cada vez mais leve,Poesia,Carla Andrade,Feminino,de 40 a 50 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5578,2022,Anfíbios,Poesia,Livia Lemos Duarte,Feminino,de 40 a 50 anos,Brasil,Patuá,Brasil,Brasil,Não,Não,Não
5579,2022,Angie,Conto,Leonardo Costaneto,Masculino,de 30 a 40 anos,Brasil,Caravana,Brasil,Brasil,Não,Não,Não
